entity	index	name	label	actorOrService	hierarchy	description	originalAlternativeName	type	nistDomain	cimZone	euWp1ActorOrRole	euWp1RelatedRole	euWp1FunctionOrService
entity:CircuitUpdateDetector-120	120	Circuit update detector	Circuit update detector	Service	Conceptual	This service detects an update in the field to a distribution circuit for the purpose of updating the system model		Automation Service	Distribution				
entity:CircuitVoltageLevelAdjustment-121	121	Circuit voltage level adjustment	Circuit voltage level adjustment	Service	Conceptual	This service sends a calculated voltage level adjustment to a device in the  circuit.		Automation Service	Transmission				
entity:CircuitVoltageLevelAdjustment-122	122	Circuit voltage level adjustment	Circuit voltage level adjustment	Service	Conceptual	This service sends a calculated voltage level adjustment to a device in the distribution circuit.		Automation Service	Distribution				
entity:ClassifyDataConfidentiality-123	123	Classify data confidentiality	Classify data confidentiality	Service	Conceptual	provide predetermined protocols for classifying data  confidentiality into multiple levels		Business Service	Cross-cutting				
entity:ClearMarket-124	124	Clear Market	Clear Market	Service	Conceptual	Identify the most econonically optimal schedule of resources while maintaining the security of the grid.		Business Service	Market				
entity:ClearTrades-125	125	clear trades	clear trades	Service	Conceptual	Provide the ability to financially clear bi-lateral trades		Business Service	Market				
entity:Clearing-SettlementAgent-126	126	Clearing & Settlement Agent	Clearing & Settlement Agent	Service	Conceptual	Assumes liability for clearing and/or settlement of contracts and provides contractual counterparty within a Power Exchangse and  Over the Counter (OTC) contracts.		Organization	Market		role	Imbalance settlement responsible	
entity:ClosedLoopController-127	127	Closed-Loop Controller	Closed-Loop Controller	Application		Control the grid, when RTSS detects contingency or anomalies that should be immediately be resolved.							
entity:CoalFacility-128	128	Coal Facility	Coal Facility	Actor	Logical - 2nd	Power plant that produces electricity by burning coal.	CM: Coal; P: Fossil	Facility	Generation				
entity:Cogeneration-129	129	Cogeneration	Cogeneration	Actor	Logical - 1st	Devices which increase the efficiency of fuel by capturing and utilizing the both heat and power produced when the fuel is burned. Examples include combined cycle devices which utilize residual heat to generate additional electricity, topping cycle devices which use residual heat for heating or cooling, and bottom cycle processes which use waste heat to produce electricity.		Device	Customer		role	producer	
